City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
0,Kapaa,89,US,1579990269,59,22.08,-159.32,75.99,7.96
1,Bluff,66,NZ,1579990266,56,-46.6,168.33,63.43,1.54
2,Bredasdorp,0,ZA,1579990062,72,-34.53,20.04,66.2,16.11
3,Kahului,6,US,1579990288,70,20.89,-156.47,79,14
4,Hermanus,29,ZA,1579990267,77,-34.42,19.23,64.99,8.99
4,Esperance,74,AU,1579990269,85,-33.87,121.9,65.34,4.59
5,Yellowknife,100,CA,1579990060,84,62.46,-114.35,10,7.63
6,Honghu,100,CN,1579990573,91,29.82,113.46,38.62,14.79
7,Rikitea,36,PF,1579990266,77,-23.12,-134.97,78.76,14.61
8,Labuhan,100,ID,1579990341,92,-6.88,112.21,75.49,2.8
9,Mar del Plata,0,AR,1579990272,76,-38,-57.56,75,11.99
10,Yumen,0,CN,1579990335,69,40.28,97.2,13.5,4.59
11,Saint-Philippe,100,RE,1579990070,79,-21.36,55.77,72,17.07
12,Port Elizabeth,75,ZA,1579990285,94,-33.92,25.57,68,14.99
13,Saalfeld,88,DE,1579990585,92,50.65,11.37,33.01,4.56
14,Butaritari,3,KI,1579990290,72,3.07,172.79,84.85,9.51
15,Olga,0,RU,1579990588,49,43.74,135.29,20.25,11.9
16,Narsaq,100,GL,1579990306,72,60.92,-46.05,15.8,3.36
17,Saskylakh,100,RU,1579990305,91,71.92,114.08,-16.85,19.26
18,Jamestown,100,US,1579990169,10,42.1,-79.24,37,1.99
19,Sitka,100,US,1579990284,97,57.05,-135.33,33.67,6.02
19,Sargatskoye,100,RU,1579990596,92,55.61,73.5,8.26,12.97
20,Geraldton,0,AU,1579990096,80,-28.77,114.6,72.46,19.3
21,Port Alfred,0,ZA,1579990272,98,-33.59,26.89,68,4
22,Kaitangata,91,NZ,1579990317,77,-46.28,169.85,58.53,6.85
23,Busselton,1,AU,1579990271,61,-33.65,115.33,66,9.6
24,Touros,88,BR,1579990604,82,-5.2,-35.46,82.62,18.68
25,Ushuaia,100,AR,1579990066,57,-54.8,-68.3,47.46,14.94
26,San Juan,0,AR,1579990608,17,-31.54,-68.54,100.31,12.08
27,Carnarvon,0,AU,1579990279,64,-24.87,113.63,78.64,19.28
28,Plettenberg Bay,0,ZA,1579990611,91,-34.05,23.37,68.97,8.93
29,Cabo San Lucas,31,MX,1579990135,77,22.89,-109.91,73.99,5.01
30,Kodinsk,100,RU,1579990614,75,58.69,99.18,26.31,15.19
31,Kinsale,100,IE,1579990616,96,51.71,-8.53,48,13
32,Rexburg,90,US,1579990531,97,43.83,-111.79,36,5.82
33,New Norfolk,77,AU,1579990273,66,-42.78,147.06,70,1.99
34,Avarua,98,CK,1579990274,85,-21.21,-159.78,80.29,14.81
35,Punta Arenas,0,CL,1579990270,62,-53.15,-70.92,51.01,23
36,Faanui,0,PF,1579990273,77,-16.48,-151.75,82.13,12.93
37,Qaanaaq,0,GL,1579990275,46,77.48,-69.36,-13.38,4.99
38,Kerouane,6,GN,1579990627,13,9.27,-9.02,75.6,4.18
39,Porto Velho,100,BR,1579990629,64,-8.76,-63.9,88.77,1.1
40,Ancud,100,CL,1579990309,94,-41.87,-73.82,60.33,8.79
41,Sao Filipe,38,CV,1579990296,52,14.9,-24.5,75.87,16.08
42,Bull Savanna,41,JM,1579990634,68,17.89,-77.59,75.25,4.92
43,Ucluelet,96,CA,1579990256,91,48.93,-125.55,48,2.68
44,Tiznit,28,MA,1579990297,90,29.58,-9.5,48.69,7.25
45,Pisco,100,PE,1579990088,87,-13.7,-76.22,75,11.01
46,George Town,79,MY,1579990292,83,5.41,100.34,78.01,3
47,Hobart,76,AU,1579990142,37,-42.88,147.33,70,1.48
48,Nikolskoye,0,RU,1579990060,81,59.7,30.79,30,7.83
49,Ambon,63,ID,1579990645,74,-3.7,128.18,81.23,3.6
49,Kaffrine,65,SN,1579990647,11,14.11,-15.55,86.07,8.55
50,Tottori,100,JP,1579990649,76,35.5,134.23,41.4,2.57
51,Pangody,83,RU,1579990622,97,65.85,74.49,-2.06,3.71
52,Paamiut,86,GL,1579990274,62,61.99,-49.67,17.4,17.36
52,Ambovombe,0,MG,1579990654,82,-25.17,46.08,68.16,8.86
53,Progreso,0,MX,1579990640,62,21.28,-89.67,81,17.56
54,Bubaque,99,GW,1579990657,66,11.28,-15.83,79.34,15.88
55,Vanavara,100,RU,1579990659,88,60.34,102.28,26.64,13.78
56,Thompson,100,CA,1579990095,91,55.74,-97.86,21.2,1.25
57,Clyde River,56,CA,1579990275,76,70.47,-68.59,-20.76,4.47
58,Bandarbeyla,100,SO,1579990664,82,9.49,50.81,79.02,18.88
58,Arraial do Cabo,0,BR,1579990278,85,-22.97,-42.03,75.97,11.48
