City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
0,Ivdel,96,RU,1581309320,86,60.69,60.42,9.77,9.77,3.69
1,Provideniya,90,RU,1581309300,70,64.38,-173.3,-2.2,-2.2,17.9
2,Albino,75,IT,1581309324,93,45.76,9.8,42.3,45,3.36
3,Hobart,75,AU,1581309325,60,-42.88,147.33,67.21,73,13.87
4,Caravelas,92,BR,1581309269,82,-17.71,-39.25,80.58,80.58,15.9
5,Kapaa,20,US,1581309329,53,22.08,-159.32,72.54,73.4,21.92
6,Kourou,75,GF,1581309330,88,5.16,-52.65,77,77,3.36
7,Ceyhan,0,TR,1581309332,63,37.02,35.82,29.3,30.99,3.36
8,Ushuaia,75,AR,1581309180,76,-54.8,-68.3,55.4,55.4,4.7
8,Sao Filipe,50,CV,1581309209,67,14.9,-24.5,69.75,69.75,23.15
9,Dumai,100,ID,1581309196,82,1.68,101.45,78.96,78.96,3.69
10,Vestmanna,84,FO,1581309339,69,62.16,-7.17,37.4,37.4,16.11
11,Mataura,0,NZ,1581309340,77,-46.19,168.86,57.99,57.99,15.99
11,Thompson,20,CA,1581309342,83,55.74,-97.86,-9.4,-9.4,2.24
12,Rikitea,33,PF,1581309146,78,-23.12,-134.97,78.58,78.58,16.73
13,Praia,0,CV,1581309345,68,14.92,-23.51,69.8,69.8,19.46
13,Cape Town,60,ZA,1581309065,90,-33.93,18.42,66,66,1.99
14,Qaanaaq,0,GL,1581309349,58,77.48,-69.36,-4.52,-4.52,3.74
15,Cabo San Lucas,75,MX,1581309350,82,22.89,-109.91,64.35,68,6.46
16,Hilo,20,US,1581309119,64,19.73,-155.09,67.73,73.4,5.82
17,Aklavik,90,CA,1581309353,75,68.22,-135.01,-13,-13,2.24
18,Albany,90,US,1581309355,95,42.6,-73.97,28.74,33.01,4.7
19,Barrow,90,US,1581309162,68,71.29,-156.79,-16.6,-16.6,6.93
20,Mananjary,56,MG,1581309358,64,-21.22,48.33,80.02,80.02,6.96
21,Avarua,69,CK,1581309353,83,-21.21,-159.78,82.4,82.4,8.05
22,Hermanus,20,ZA,1581309270,73,-34.42,19.23,66.36,66.99,1.01
23,Edson,75,CA,1581309363,86,53.58,-116.44,28.4,28.4,9.17
24,Tabas,45,IR,1581309365,23,33.6,56.92,53.6,53.6,2.24
25,Port Alfred,55,ZA,1581309367,97,-33.59,26.89,68,68,12.55
25,New Norfolk,75,AU,1581309307,60,-42.78,147.06,67.15,73,13.87
26,Castellammare del Golfo,0,IT,1581309370,71,38.02,12.89,50.29,55.4,17.22
27,Batemans Bay,100,AU,1581309372,100,-35.72,150.18,71.56,73.99,4
28,Bluff,4,NZ,1581309373,77,-46.6,168.33,57.99,57.99,15.99
29,Yellowknife,90,CA,1581309029,84,62.46,-114.35,0.86,1.4,10.29
30,Mossamedes,0,AO,1581309377,70,-15.2,12.15,74.97,74.97,5.17
31,Cherskiy,0,RU,1581309229,63,68.75,161.3,-16.13,-16.13,9.89
32,Atuona,16,PF,1581309150,76,-9.8,-139.03,81.79,81.79,16.46
33,Busselton,0,AU,1581309382,17,-33.65,115.33,81.52,82,6.31
33,Cockburn Town,46,TC,1581309263,80,21.46,-71.14,77.59,77.59,20.27
34,Shvartsevskiy,97,RU,1581309385,90,54.1,37.99,20.89,20.89,18.19
35,Upernavik,100,GL,1581309387,92,72.79,-56.15,-8.55,-8.55,7.49
35,Mawlaik,11,MM,1581309389,38,23.63,94.42,80.6,80.6,2.89
36,Dickinson,90,US,1581309293,94,29.46,-95.05,70.12,72,14.99
37,Maracacume,78,BR,1581309392,98,-2.04,-45.96,72.66,72.66,1.16
38,Saint-Lo,83,FR,1581309393,87,49.12,-1.09,46.35,48,28.86
39,Yarmouth,90,US,1581309117,69,41.71,-70.23,38.39,41,6.93
40,Khatanga,0,RU,1581309297,96,71.97,102.5,-19.95,-19.95,5.59
40,Esperance,27,AU,1581309398,40,-33.87,121.9,73.4,73.4,10.29
40,Corrente,92,BR,1581309400,99,-3.74,-43.34,73.11,73.11,1.54
40,Mount Pleasant,40,US,1581309147,93,32.79,-79.86,44.42,48.99,3.49
41,Abha,81,SA,1581309336,93,18.22,42.51,54.46,55.4,11.41
42,Omsukchan,3,RU,1581309405,54,62.53,155.8,-14.13,-14.13,3.56
43,Lisakovsk,0,KZ,1581309165,84,52.54,62.49,-2.34,-2.34,9.46
44,San Felipe,48,VE,1581309408,96,10.34,-68.74,70.57,70.57,0.67
45,Punta Arenas,0,CL,1581309180,62,-53.15,-70.92,51.44,51.8,3.36
46,Los Llanos de Aridane,90,ES,1581309411,72,28.66,-17.92,63.18,66.2,13.87
47,Ulaangom,94,MN,1581309413,83,49.98,92.07,7.86,7.86,3.06
48,Castro,100,BR,1581309415,99,-24.79,-50.01,62.96,62.96,6.73
49,Diu,0,IN,1581309416,60,20.71,70.98,71.42,71.42,19.57
50,Puerto Ayora,61,EC,1581309241,85,-0.74,-90.35,77.76,77.76,4.81
51,The Valley,75,AI,1581309261,78,18.22,-63.06,77.72,78.8,11.41
52,Bredasdorp,22,ZA,1581309421,88,-34.53,20.04,66.34,66.99,3.36
53,Saint George,90,US,1581309423,36,37.1,-113.58,38.59,46.4,19.46
54,Abapo,93,BO,1581309425,87,-18.83,-63.47,68.47,68.47,4.32
55,Taltal,96,CL,1581309426,85,-25.4,-70.48,59.81,59.81,4.21
55,Alekseyevsk,100,RU,1581309428,99,57.84,108.35,32.81,32.81,9.71
56,Umm Lajj,0,SA,1581309430,29,25.02,37.27,59.45,59.45,7.81
57,Katobu,100,ID,1581309431,93,-4.94,122.53,76.82,76.82,3.13
58,Butaritari,69,KI,1581309279,81,3.07,172.79,83.61,83.61,17.18
59,Lompoc,20,US,1581309336,37,34.64,-120.46,50.2,59,3.36
60,Puerto Madero,75,MX,1581309436,100,14.72,-92.42,75.2,75.2,6.51
61,Arraial do Cabo,51,BR,1581309317,78,-22.97,-42.03,78.78,78.78,8.16
62,Fortuna,1,US,1581309253,87,40.6,-124.16,42.17,44.01,3.53
63,Iqaluit,20,CA,1581309441,60,63.75,-68.51,-27.22,-27,6.93
64,Kaeo,0,NZ,1581309443,52,-35.1,173.78,73.15,75.99,10
65,Kappeln,75,DE,1581309444,81,54.66,9.93,45.91,46.4,21.92
66,Gainesville,1,US,1581309427,93,29.65,-82.32,54.57,57.2,3.36
67,Atar,99,MR,1581309448,15,20.52,-13.05,62.22,62.22,10.11
68,Longyearbyen,40,SJ,1581309241,66,78.22,15.64,14,14,32.21
69,Brae,100,GB,1581309131,80,60.4,-1.35,39.2,39.2,19.46
70,Vaini,75,TO,1581309452,94,-21.2,-175.2,78.8,78.8,11.41
71,Prince Rupert,90,CA,1581309431,100,54.32,-130.32,41,41,3.36
72,Excelsior Springs,90,US,1581309456,74,39.34,-94.23,29.19,30.99,10.29
73,Ribeira Grande,100,PT,1581309458,91,38.52,-28.7,57.22,57.22,8.21
74,Souillac,40,MU,1581309459,74,-20.52,57.52,80.76,81,13.87
75,Avera,1,US,1581309461,65,33.19,-82.53,42.42,46.4,4.7
76,Puerto Leguizamo,59,CO,1581309463,64,-0.19,-74.78,74.84,74.84,1.39
77,Kajaani,90,FI,1581309464,93,64.17,27.67,35.6,35.6,19.46
78,Ndago,100,TZ,1581309466,73,-4.6,34.35,68.63,68.63,2.53
79,Kodiak,75,US,1581309281,74,57.79,-152.41,33.8,33.8,5.82
80,Luanda,40,AO,1581309469,88,-8.84,13.23,78.8,78.8,4.7
80,Yatou,0,CN,1581309284,20,37.15,122.38,57,57,3
81,Constitucion,0,CL,1581309470,80,-35.33,-72.42,56.16,56.16,2.57
82,Panaba,27,MX,1581309474,87,21.28,-88.27,73.08,73.08,7.92
83,Dikson,0,RU,1581309476,91,73.51,80.55,-15.03,-15.03,4.92
84,Tiksi,99,RU,1581309302,88,71.69,128.87,-9.26,-9.26,9.44
85,Guerrero Negro,46,MX,1581309479,73,27.98,-114.06,58.41,58.41,5.48
86,George Town,20,MY,1581309380,55,5.41,100.34,88.21,89.6,9.17
86,Bethel,75,US,1581309413,69,41.37,-73.41,35.73,42.8,5.82
86,Sioux Lookout,20,CA,1581309484,91,50.1,-91.92,3.96,5,6.93
